"Object.Name","Slot.Name","units","Value","Model","RunType","posDate"
"Mead","Pool Elevation","ft",1214.26,"Historical",99,2000-01-31
"Mead","Pool Elevation","ft",1213.79,"Historical",99,2000-02-29
"Mead","Pool Elevation","ft",1211.33,"Historical",99,2000-03-31
"Mead","Pool Elevation","ft",1208.78,"Historical",99,2000-04-30
"Mead","Pool Elevation","ft",1207.67,"Historical",99,2000-05-31
"Mead","Pool Elevation","ft",1204.09,"Historical",99,2000-06-30
"Mead","Pool Elevation","ft",1199.97,"Historical",99,2000-07-31
"Mead","Pool Elevation","ft",1196.66,"Historical",99,2000-08-31
"Mead","Pool Elevation","ft",1196.72,"Historical",99,2000-09-30
"Mead","Pool Elevation","ft",1196.66,"Historical",99,2000-10-31
"Mead","Pool Elevation","ft",1196.45,"Historical",99,2000-11-30
"Mead","Pool Elevation","ft",1196.12,"Historical",99,2000-12-31
"Mead","Pool Elevation","ft",1197.27,"Historical",99,2001-01-31
"Mead","Pool Elevation","ft",1196.62,"Historical",99,2001-02-28
"Mead","Pool Elevation","ft",1194.68,"Historical",99,2001-03-31
"Mead","Pool Elevation","ft",1190.76,"Historical",99,2001-04-30
"Mead","Pool Elevation","ft",1187.32,"Historical",99,2001-05-31
"Mead","Pool Elevation","ft",1183.12,"Historical",99,2001-06-30
"Mead","Pool Elevation","ft",1180.78,"Historical",99,2001-07-31
"Mead","Pool Elevation","ft",1179.97,"Historical",99,2001-08-31
"Mead","Pool Elevation","ft",1177.96,"Historical",99,2001-09-30
"Mead","Pool Elevation","ft",1178.03,"Historical",99,2001-10-31
"Mead","Pool Elevation","ft",1177.22,"Historical",99,2001-11-30
"Mead","Pool Elevation","ft",1177.37,"Historical",99,2001-12-31
"Mead","Pool Elevation","ft",1177.94,"Historical",99,2002-01-31
"Mead","Pool Elevation","ft",1176.5,"Historical",99,2002-02-28
"Mead","Pool Elevation","ft",1172.06,"Historical",99,2002-03-31
"Mead","Pool Elevation","ft",1167.49,"Historical",99,2002-04-30
"Mead","Pool Elevation","ft",1162.39,"Historical",99,2002-05-31
"Mead","Pool Elevation","ft",1159.19,"Historical",99,2002-06-30
"Mead","Pool Elevation","ft",1157.57,"Historical",99,2002-07-31
"Mead","Pool Elevation","ft",1156.42,"Historical",99,2002-08-31
"Mead","Pool Elevation","ft",1155.42,"Historical",99,2002-09-30
"Mead","Pool Elevation","ft",1154.89,"Historical",99,2002-10-31
"Mead","Pool Elevation","ft",1153.3,"Historical",99,2002-11-30
"Mead","Pool Elevation","ft",1152.13,"Historical",99,2002-12-31
"Mead","Pool Elevation","ft",1153.33,"Historical",99,2003-01-31
"Mead","Pool Elevation","ft",1154.42,"Historical",99,2003-02-28
"Mead","Pool Elevation","ft",1153.09,"Historical",99,2003-03-31
"Mead","Pool Elevation","ft",1148.27,"Historical",99,2003-04-30
"Mead","Pool Elevation","ft",1144.68,"Historical",99,2003-05-31
"Mead","Pool Elevation","ft",1143.19,"Historical",99,2003-06-30
"Mead","Pool Elevation","ft",1141.93,"Historical",99,2003-07-31
"Mead","Pool Elevation","ft",1143.27,"Historical",99,2003-08-31
"Mead","Pool Elevation","ft",1142.12,"Historical",99,2003-09-30
"Mead","Pool Elevation","ft",1141.17,"Historical",99,2003-10-31
"Mead","Pool Elevation","ft",1139.48,"Historical",99,2003-11-30
"Mead","Pool Elevation","ft",1139.12,"Historical",99,2003-12-31
"Mead","Pool Elevation","ft",1140.39,"Historical",99,2004-01-31
"Mead","Pool Elevation","ft",1140.11,"Historical",99,2004-02-29
"Mead","Pool Elevation","ft",1138.7,"Historical",99,2004-03-31
"Mead","Pool Elevation","ft",1134.98,"Historical",99,2004-04-30
"Mead","Pool Elevation","ft",1129.7,"Historical",99,2004-05-31
"Mead","Pool Elevation","ft",1126.93,"Historical",99,2004-06-30
"Mead","Pool Elevation","ft",1125.73,"Historical",99,2004-07-31
"Mead","Pool Elevation","ft",1126.67,"Historical",99,2004-08-31
"Mead","Pool Elevation","ft",1125.86,"Historical",99,2004-09-30
"Mead","Pool Elevation","ft",1127.43,"Historical",99,2004-10-31
"Mead","Pool Elevation","ft",1130.13,"Historical",99,2004-11-30
"Mead","Pool Elevation","ft",1130.01,"Historical",99,2004-12-31
"Mead","Pool Elevation","ft",1137.4,"Historical",99,2005-01-31
"Mead","Pool Elevation","ft",1143.25,"Historical",99,2005-02-28
"Mead","Pool Elevation","ft",1147.66,"Historical",99,2005-03-31
"Mead","Pool Elevation","ft",1144.45,"Historical",99,2005-04-30
"Mead","Pool Elevation","ft",1141.89,"Historical",99,2005-05-31
"Mead","Pool Elevation","ft",1140.46,"Historical",99,2005-06-30
"Mead","Pool Elevation","ft",1139.01,"Historical",99,2005-07-31
"Mead","Pool Elevation","ft",1139.61,"Historical",99,2005-08-31
"Mead","Pool Elevation","ft",1138.36,"Historical",99,2005-09-30
"Mead","Pool Elevation","ft",1137.01,"Historical",99,2005-10-31
"Mead","Pool Elevation","ft",1135.27,"Historical",99,2005-11-30
"Mead","Pool Elevation","ft",1137.52,"Historical",99,2005-12-31
"Mead","Pool Elevation","ft",1139.46,"Historical",99,2006-01-31
"Mead","Pool Elevation","ft",1141.2,"Historical",99,2006-02-28
"Mead","Pool Elevation","ft",1139.48,"Historical",99,2006-03-31
"Mead","Pool Elevation","ft",1135.94,"Historical",99,2006-04-30
"Mead","Pool Elevation","ft",1131.14,"Historical",99,2006-05-31
"Mead","Pool Elevation","ft",1128.26,"Historical",99,2006-06-30
"Mead","Pool Elevation","ft",1126.42,"Historical",99,2006-07-31
"Mead","Pool Elevation","ft",1126.54,"Historical",99,2006-08-31
"Mead","Pool Elevation","ft",1125.36,"Historical",99,2006-09-30
"Mead","Pool Elevation","ft",1126.13,"Historical",99,2006-10-31
"Mead","Pool Elevation","ft",1126.63,"Historical",99,2006-11-30
"Mead","Pool Elevation","ft",1128.12,"Historical",99,2006-12-31
"Mead","Pool Elevation","ft",1129.55,"Historical",99,2007-01-31
"Mead","Pool Elevation","ft",1129.35,"Historical",99,2007-02-28
"Mead","Pool Elevation","ft",1125.79,"Historical",99,2007-03-31
"Mead","Pool Elevation","ft",1120.69,"Historical",99,2007-04-30
"Mead","Pool Elevation","ft",1115.89,"Historical",99,2007-05-31
"Mead","Pool Elevation","ft",1113.5,"Historical",99,2007-06-30
"Mead","Pool Elevation","ft",1111.58,"Historical",99,2007-07-31
"Mead","Pool Elevation","ft",1111.84,"Historical",99,2007-08-31
"Mead","Pool Elevation","ft",1111.06,"Historical",99,2007-09-30
"Mead","Pool Elevation","ft",1110.95,"Historical",99,2007-10-31
"Mead","Pool Elevation","ft",1111.22,"Historical",99,2007-11-30
"Mead","Pool Elevation","ft",1114.81,"Historical",99,2007-12-31
"Mead","Pool Elevation","ft",1116.46,"Historical",99,2008-01-31
"Mead","Pool Elevation","ft",1116.93,"Historical",99,2008-02-29
"Mead","Pool Elevation","ft",1115.65,"Historical",99,2008-03-31
"Mead","Pool Elevation","ft",1110.61,"Historical",99,2008-04-30
"Mead","Pool Elevation","ft",1107.05,"Historical",99,2008-05-31
"Mead","Pool Elevation","ft",1104.98,"Historical",99,2008-06-30
"Mead","Pool Elevation","ft",1104.42,"Historical",99,2008-07-31
"Mead","Pool Elevation","ft",1105.13,"Historical",99,2008-08-31
"Mead","Pool Elevation","ft",1105.76,"Historical",99,2008-09-30
"Mead","Pool Elevation","ft",1107.94,"Historical",99,2008-10-31
"Mead","Pool Elevation","ft",1107.33,"Historical",99,2008-11-30
"Mead","Pool Elevation","ft",1110.97,"Historical",99,2008-12-31
"Mead","Pool Elevation","ft",1111.78,"Historical",99,2009-01-31
"Mead","Pool Elevation","ft",1111.43,"Historical",99,2009-02-28
"Mead","Pool Elevation","ft",1107.4,"Historical",99,2009-03-31
"Mead","Pool Elevation","ft",1101.26,"Historical",99,2009-04-30
"Mead","Pool Elevation","ft",1096.92,"Historical",99,2009-05-31
"Mead","Pool Elevation","ft",1095.26,"Historical",99,2009-06-30
"Mead","Pool Elevation","ft",1094.2,"Historical",99,2009-07-31
"Mead","Pool Elevation","ft",1093.73,"Historical",99,2009-08-31
"Mead","Pool Elevation","ft",1093.68,"Historical",99,2009-09-30
"Mead","Pool Elevation","ft",1093.26,"Historical",99,2009-10-31
"Mead","Pool Elevation","ft",1093.52,"Historical",99,2009-11-30
"Mead","Pool Elevation","ft",1096.3,"Historical",99,2009-12-31
"Mead","Pool Elevation","ft",1100.02,"Historical",99,2010-01-31
"Mead","Pool Elevation","ft",1103.21,"Historical",99,2010-02-28
"Mead","Pool Elevation","ft",1100.66,"Historical",99,2010-03-31
"Mead","Pool Elevation","ft",1098,"Historical",99,2010-04-30
"Mead","Pool Elevation","ft",1094.3,"Historical",99,2010-05-31
"Mead","Pool Elevation","ft",1089.3,"Historical",99,2010-06-30
"Mead","Pool Elevation","ft",1086.97,"Historical",99,2010-07-31
"Mead","Pool Elevation","ft",1086.91,"Historical",99,2010-08-31
"Mead","Pool Elevation","ft",1083.81,"Historical",99,2010-09-30
"Mead","Pool Elevation","ft",1082.36,"Historical",99,2010-10-31
"Mead","Pool Elevation","ft",1081.94,"Historical",99,2010-11-30
"Mead","Pool Elevation","ft",1086.3,"Historical",99,2010-12-31
"Mead","Pool Elevation","ft",1091.73,"Historical",99,2011-01-31
"Mead","Pool Elevation","ft",1095.78,"Historical",99,2011-02-28
"Mead","Pool Elevation","ft",1096.39,"Historical",99,2011-03-31
"Mead","Pool Elevation","ft",1095.76,"Historical",99,2011-04-30
"Mead","Pool Elevation","ft",1097.9,"Historical",99,2011-05-31
"Mead","Pool Elevation","ft",1102.38,"Historical",99,2011-06-30
"Mead","Pool Elevation","ft",1107.07,"Historical",99,2011-07-31
"Mead","Pool Elevation","ft",1113.45,"Historical",99,2011-08-31
"Mead","Pool Elevation","ft",1116.04,"Historical",99,2011-09-30
"Mead","Pool Elevation","ft",1121,"Historical",99,2011-10-31
"Mead","Pool Elevation","ft",1125.82,"Historical",99,2011-11-30
"Mead","Pool Elevation","ft",1132.83,"Historical",99,2011-12-31
"Mead","Pool Elevation","ft",1134.18,"Historical",99,2012-01-31
"Mead","Pool Elevation","ft",1133.06,"Historical",99,2012-02-29
"Mead","Pool Elevation","ft",1129.41,"Historical",99,2012-03-31
"Mead","Pool Elevation","ft",1123.93,"Historical",99,2012-04-30
"Mead","Pool Elevation","ft",1119.38,"Historical",99,2012-05-31
"Mead","Pool Elevation","ft",1115.84,"Historical",99,2012-06-30
"Mead","Pool Elevation","ft",1115.92,"Historical",99,2012-07-31
"Mead","Pool Elevation","ft",1116.56,"Historical",99,2012-08-31
"Mead","Pool Elevation","ft",1115.16,"Historical",99,2012-09-30
"Mead","Pool Elevation","ft",1116.5,"Historical",99,2012-10-31
"Mead","Pool Elevation","ft",1117.24,"Historical",99,2012-11-30
"Mead","Pool Elevation","ft",1120.36,"Historical",99,2012-12-31
"Mead","Pool Elevation","ft",1122.32,"Historical",99,2013-01-31
"Mead","Pool Elevation","ft",1122.14,"Historical",99,2013-02-28
"Mead","Pool Elevation","ft",1118.59,"Historical",99,2013-03-31
"Mead","Pool Elevation","ft",1112.91,"Historical",99,2013-04-30
"Mead","Pool Elevation","ft",1108.36,"Historical",99,2013-05-31
"Mead","Pool Elevation","ft",1105.98,"Historical",99,2013-06-30
"Mead","Pool Elevation","ft",1105.92,"Historical",99,2013-07-31
"Mead","Pool Elevation","ft",1106.13,"Historical",99,2013-08-31
"Mead","Pool Elevation","ft",1106.92,"Historical",99,2013-09-30
"Mead","Pool Elevation","ft",1104.04,"Historical",99,2013-10-31
"Mead","Pool Elevation","ft",1106.36,"Historical",99,2013-11-30
"Mead","Pool Elevation","ft",1106.73,"Historical",99,2013-12-31
"Mead","Pool Elevation","ft",1108.75,"Historical",99,2014-01-31
"Mead","Pool Elevation","ft",1107.94,"Historical",99,2014-02-28
"Mead","Pool Elevation","ft",1101.71,"Historical",99,2014-03-31
"Mead","Pool Elevation","ft",1094.55,"Historical",99,2014-04-30
"Mead","Pool Elevation","ft",1087.46,"Historical",99,2014-05-31
"Mead","Pool Elevation","ft",1082.66,"Historical",99,2014-06-30
"Mead","Pool Elevation","ft",1080.6,"Historical",99,2014-07-31
"Mead","Pool Elevation","ft",1081.55,"Historical",99,2014-08-31
"Mead","Pool Elevation","ft",1081.33,"Historical",99,2014-09-30
"Mead","Pool Elevation","ft",1082.79,"Historical",99,2014-10-31
"Mead","Pool Elevation","ft",1083.57,"Historical",99,2014-11-30
"Mead","Pool Elevation","ft",1087.79,"Historical",99,2014-12-31
"Mead","Pool Elevation","ft",1088.51,"Historical",99,2015-01-31
"Mead","Pool Elevation","ft",1088.98,"Historical",99,2015-02-28
"Mead","Pool Elevation","ft",1084.87,"Historical",99,2015-03-31
"Mead","Pool Elevation","ft",1079.03,"Historical",99,2015-04-30
"Mead","Pool Elevation","ft",1076.57,"Historical",99,2015-05-31
"Mead","Pool Elevation","ft",1075.08,"Historical",99,2015-06-30
"Mead","Pool Elevation","ft",1078.15,"Historical",99,2015-07-31
"Mead","Pool Elevation","ft",1078.31,"Historical",99,2015-08-31
"Mead","Pool Elevation","ft",1078.1,"Historical",99,2015-09-30
"Mead","Pool Elevation","ft",1078.99,"Historical",99,2015-10-31
"Mead","Pool Elevation","ft",1078.23,"Historical",99,2015-11-30
"Mead","Pool Elevation","ft",1080.91,"Historical",99,2015-12-31
"Mead","Pool Elevation","ft",1083.68,"Historical",99,2016-01-31
"Mead","Pool Elevation","ft",1084.17,"Historical",99,2016-02-29
"Mead","Pool Elevation","ft",1080.45,"Historical",99,2016-03-31
"Mead","Pool Elevation","ft",1076.13,"Historical",99,2016-04-30
